,text,y,split
0,rock destined 21st century new conan he going make splash even greater arnold schwarzenegger jeanclaud van damme steven segal,1,9
1,gorgeously elaborate continuation lord ring trilogy huge column word cannot adequately describe cowriterdirector peter jackson expanded vision j r r tolkien middleearth,1,8
2,effective tootepid biopic,1,7
3,sometimes like go movie fun wasabi good place start,1,1
4,emerges something rare issue thats honest keenly observed doesnt feel like,1,3
5,provides great insight neurotic mindset comic even reached absolute top game,1,2
6,offer rare combination entertainment education,1,3
7,perhaps picture ever made literally showed road hell paved good intention,1,5
8,steer turn snappy screenplay curl edge clever want hate somehow pull,1,0
9,take care cat offer refreshingly different slice asian cinema,1,2
10,well worth seeing talking singing head,1,4
11,really surprise wisegirls lowkey quality genuine tenderness,1,9
12,wendigo go cinema fed eye heart mind,1,4
13,greatest familyoriented fantasyadventure movie ever,1,0
14,ultimately ponders reason need story much,1,9
15,utterly compelling wrote reputation famous author ever lived come question,1,9
16,illuminating overly talky documentary,1,0
17,masterpiece four year making,1,5
18,movie ripe enrapturing beauty tempt willing probe inscrutable mystery,1,3
19,offer breath fresh air true sophistication,1,3
20,thoughtful provocative insistently humanizing,1,5
21,cast includes top actor working independent lovely amazing involves u incisive bleakly amusing go life,1,4
22,disturbing frighteningly evocative assembly imagery hypnotic music composed philip glass,1,3
23,everyone connect nice departure standard moviegoing fare,1,5
24,score point dedicated goodhearted professionalism,1,9
25,occasionally melodramatic also extremely effective,1,8
26,spiderman rock,1,8
27,idealistic love story brings latent 15yearold romantic everyone,1,4
28,95 minute treasure planet maintains brisk pace race familiar story however lack grandeur epic quality often associated stevenson tale well earlier disney effort,1,4
29,help lil bow wow tone pintsized gangsta act play someone resembles real kid,1,2
30,guaranteed move anyone ever shook rattled rolled,1,9
31,masterful master filmmaker unique deceptive grimness compelling fatalist worldview,1,6
32,light cute forgettable,1,5
33,there way effectively teach kid danger drug think project like unfortunately rrated paid,1,1
34,would easy give crush new title two wedding funeral far thoughtful slice hugh grant whimsy,1,9
35,though everything might literate smart never took always seemed static,1,0
36,cantet perfectly capture hotel lobby twolane highway roadside cafe permeate vincents day,1,1
37,m fulfordwierzbicki almost spooky sulky calculating lolita turn,1,7
38,though mean best work laissezpasser distinguished distinctive effort bonafide master fascinating replete reward willing make effort reap,1,9
39,like bond outing recent year stunt outlandish border cartoonlike heavy reliance cgi technology beginning creep series,1,7
40,newton draw attention like magnet act circle around better known costar mark wahlberg,1,3
41,story loses bite lastminute happy ending thats even le plausible rest picture much way though refreshingly novel ride,1,8
42,fuller would surely called gutsy time exhilarating great yarn,1,5
43,compleja e intelectualmente retadora el ladrón de e uno de esos filmes que vale la pena ver precisamente por su originalidad,1,0
44,make strong case importance musician creating motown sound,1,8
45,karmen move like rhythm lip beat long braided hair little wipe away jeweled bead sweat,1,6
46,gosling provides amazing performance dwarf everything else,1,2
47,real real people give u rare glimpse culture u dont know,1,2
48,tender yet lacerating darkly funny fable,1,1
49,may spoofing easy target old 50 giant creature feature acknowledges celebrates cheesiness reason people get kick watching today,1,1
